id,on-equivalent-face,timely-feedback,inet-stable-wd,strat-sustainable,it-confidence,tech-resource,teacher-skills,info-retention,strat-effective,access-od,course-delivery-effective,strat-nature,change-strat,strat-fair,uni,faculty
1,2,1,1,4,1,1,2,2,3,1,3,2,1,2,GUC,Business
2,2,2,2,2,2,1,3,2,3,2,3,2,1,1,GUC,Business
3,2,1,1,2,1,1,1,1,2,2,2,2,1,1,GUC,Business
4,4,1,1,5,1,1,2,2,4,2,2,2,1,2,GUC,Engineering
5,1,2,1,2,3,2,2,1,1,1,1,2,2,1,GUC,Business
6,2,3,1,1,1,2,1,1,2,2,2,2,2,1,GUC,Business
7,3,1,1,2,1,2,2,3,3,1,2,2,1,2,GUC,Engineering
8,2,1,1,4,1,1,2,4,2,1,2,2,1,1,GUC,Engineering
9,4,3,1,5,2,1,2,4,4,1,3,2,1,2,GUC,Pharmacy
10,2,2,1,1,1,1,3,2,2,1,1,2,2,2,GUC,Engineering
11,3,1,1,2,1,1,4,1,2,2,2,2,1,2,GUC,Engineering
12,1,2,2,2,2,2,1,1,1,2,2,2,1,1,GUC,Business
13,1,4,2,2,1,2,1,2,2,2,2,2,1,2,GUC,Business
14,2,3,2,3,1,2,2,2,2,2,1,2,2,1,GUC,Business
15,2,2,1,4,1,1,1,3,3,2,2,2,2,2,GUC,Engineering
16,4,1,1,3,1,2,2,2,3,2,2,2,1,2,GUC,Engineering
17,1,2,2,2,2,1,2,2,1,1,1,2,1,1,GUC,Business
18,2,1,2,1,2,2,1,1,2,1,1,2,1,2,GUC,Business
19,2,2,1,2,1,1,2,2,2,1,1,2,1,2,GUC,Engineering
20,2,2,2,1,2,1,2,2,3,2,1,2,2,1,GUC,Business
21,4,2,1,2,1,1,2,2,5,2,2,2,1,2,GUC,Engineering
22,1,3,1,2,1,1,2,4,1,1,1,2,1,2,GUC,Business
23,4,1,2,2,1,1,3,5,4,2,2,2,1,2,GUC,Pharmacy
24,2,2,1,3,2,2,1,2,3,1,3,2,1,2,GUC,Pharmacy
25,1,5,2,2,1,2,2,2,1,2,2,2,1,2,GUC,Business
26,2,1,1,1,1,2,1,3,2,2,2,2,2,1,GUC,Business
27,1,4,2,1,2,1,1,2,1,2,3,2,1,2,GUC,Business
28,1,2,1,2,1,1,3,2,1,2,4,2,1,1,GUC,Business
29,3,3,1,3,3,2,1,2,3,2,2,2,1,2,GUC,Engineering
30,2,1,1,2,1,1,1,2,2,3,2,2,2,1,GUC,Engineering
